hr; Com; Res; Ind
00; 0.60; 0.50; 0.60
01; 0.55; 0.40; 0.62
02; 0.50; 0.35; 0.60
03; 0.45; 0.38; 0.55
04; 0.55; 0.45; 0.60
05; 0.60; 0.50; 0.60
06; 0.61; 0.61; 0.70
07; 0.62; 0.70; 0.80
08; 0.65; 0.73; 0.90
09; 0.70; 0.65; 1.00
10; 0.73; 0.63; 0.72
11; 0.90; 0.60; 0.66
12; 1.00; 0.59; 0.55
13; 1.00; 0.55; 0.57
14; 0.95; 0.53; 0.64
15; 1.00; 0.50; 0.69
16; 0.85; 0.55; 0.76
17; 0.87; 0.60; 0.82
18; 0.92; 0.70; 0.87
19; 0.89; 0.80; 0.90
20; 0.80; 1.00; 0.85
21; 0.75; 0.80; 0.80
22; 0.71; 0.70; 0.75
23; 0.65; 0.55; 0.70
