n;m;R;X
0;1;0.034992424;0.080588384
1;2;0.044054924;0.044661458
1;3;0.062935606;0.063802083
1;7;0.026244318;0.060441288
3;4;0.050348485;0.051041667
3;5;0.081816288;0.082942708
5;6;0.062935606;0.063802083
7;8;0.017496212;0.040294192
8;9;0.056642045;0.057421875
8;12;0.056642045;0.057421875
8;13;0.026244318;0.060441288
9;14;0.10699053;0.108463542
13;18;0.072171875;0.166213542
13;34;0.037761364;0.03828125
13;52;0.034992424;0.080588384
14;10;0.062935606;0.063802083
14;11;0.062935606;0.063802083
15;16;0.094403409;0.095703125
15;17;0.088109848;0.089322917
18;19;0.062935606;0.063802083
18;21;0.026244318;0.060441288
18;35;0.032805398;0.07555161
19;20;0.081816288;0.082942708
21;22;0.132164773;0.133984375
21;23;0.021870265;0.05036774
23;24;0.138458333;0.140364583
23;25;0.024057292;0.055404514
25;26;0.030462595;0.071030777
25;28;0.017496212;0.040294192
26;27;0.023934896;0.055809896
26;31;0.056642045;0.057421875
27;33;0.125871212;0.127604167
28;29;0.026244318;0.060441288
29;30;0.030618371;0.070514836
31;32;0.075522727;0.0765625
34;15;0.025174242;0.025520833
35;36;0.05657339;0.131914299
35;40;0.021870265;0.05036774
36;37;0.075522727;0.0765625
36;38;0.062935606;0.063802083
38;39;0.081816288;0.082942708
40;41;0.081816288;0.082942708
40;42;0.021870265;0.05036774
42;43;0.125871212;0.127604167
42;44;0.017496212;0.040294192
44;45;0.050348485;0.051041667
44;47;0.021870265;0.05036774
45;46;0.075522727;0.0765625
47;48;0.013122159;0.030220644
47;49;0.021870265;0.05036774
49;50;0.021870265;0.05036774
50;51;0.021870265;0.05036774
51;115;0.04374053;0.10073548
52;53;0.017496212;0.040294192
53;54;0.010935133;0.02518387
54;55;0.024057292;0.055404514
54;57;0.030618371;0.070514836
55;56;0.024057292;0.055404514
57;58;0.062935606;0.063802083
57;60;0.065610795;0.15110322
58;59;0.062935606;0.063802083
60;61;0.048114583;0.110809028
60;62;0.072201705;0.035044192
60;67;0.030618371;0.070514836
62;63;0.050541193;0.024530934
63;64;0.101082386;0.049061869
64;65;0.122742898;0.059575126
65;66;0.093862216;0.045557449
67;68;0.050348485;0.051041667
67;72;0.024057292;0.055404514
67;97;0.021870265;0.05036774
68;69;0.069229167;0.070182292
69;70;0.081816288;0.082942708
70;71;0.069229167;0.070182292
72;73;0.069229167;0.070182292
72;76;0.017496212;0.040294192
73;74;0.088109848;0.089322917
74;75;0.10069697;0.102083333
76;77;0.034992424;0.080588384
76;86;0.061236742;0.141029672
77;78;0.008748106;0.020147096
78;79;0.019683239;0.045330966
78;80;0.041553504;0.095698706
80;81;0.041553504;0.095698706
81;82;0.021870265;0.05036774
81;84;0.169926136;0.172265625
82;83;0.021870265;0.05036774
84;85;0.119577652;0.121223958
86;87;0.039366477;0.090661932
87;88;0.044054924;0.044661458
87;89;0.024057292;0.055404514
89;90;0.056642045;0.057421875
89;91;0.019683239;0.045330966
91;92;0.075522727;0.0765625
91;93;0.019683239;0.045330966
93;94;0.069229167;0.070182292
93;95;0.026244318;0.060441288
95;96;0.050348485;0.051041667
97;98;0.024057292;0.055404514
97;101;0.021870265;0.05036774
98;99;0.048114583;0.110809028
99;100;0.026244318;0.060441288
101;102;0.056642045;0.057421875
101;105;0.024057292;0.055404514
102;103;0.081816288;0.082942708
103;104;0.176219697;0.178645833
105;106;0.056642045;0.057421875
105;108;0.028431345;0.065478062
106;107;0.144751894;0.146744792
108;109;0.113284091;0.11484375
108;115;0.087481061;0.20147096
109;110;0.075522727;0.0765625
110;111;0.144751894;0.146744792
110;112;0.031467803;0.031901042
112;113;0.132164773;0.133984375
113;114;0.081816288;0.082942708
