n;x;y;Pmax;res pc;com pc;ind pc;Ppv;Shunt;H2;FC;[k]
0;3424;3429;0;0;0;0;0;0;0;0;
1;3740;3433;90;20;70;10;30;0;0;0;
2;3684;3779;50;70;25;5;75;0;0;0;
3;3729;2870;100;10;70;20;15;0;0;0;
4;3747;2653;75;25;45;30;30;0;350;300;
5;3991;2855;50;70;20;10;75;0;0;0;
6;4250;2852;100;10;70;20;15;0;0;0;
7;3980;3475;50;20;10;70;40;0;0;0;
8;4277;3542;50;90;5;5;75;0;0;0;
9;4172;3898;90;10;70;20;15;0;400;350;
10;3860;3921;50;70;30;0;75;0;0;0;
11;3391;4064;100;30;70;0;0;0;0;0;
12;4126;3275;50;70;30;0;60;0;0;0;
13;4554;3587;50;90;10;0;75;0;0;0;
14;3774;4139;50;90;10;0;75;0;0;0;
15;4776;2974;50;90;10;0;75;0;0;0;
16;4866;2737;100;70;30;0;75;0;0;0;
17;5012;3094;50;90;10;0;60;0;0;0;
18;4228;4742;40;50;50;0;30;0;0;0;
19;3860;4652;100;50;50;0;30;0;0;0;
20;3466;4562;100;90;10;0;75;0;0;0;
21;4126;5125;50;10;65;25;0;0;0;0;
22;3409;4918;90;90;10;0;75;0;0;0;
23;3969;5549;50;10;65;25;15;0;0;0;
24;3432;5369;100;90;10;0;75;0;0;0;
25;3901;5840;50;50;50;0;30;0;0;0;
26;3522;5746;50;50;50;0;30;0;0;0;
27;3090;5660;50;50;50;0;45;0;0;0;
28;3834;6085;100;25;20;55;0;0;0;0;
29;3759;6348;100;10;60;30;0;0;0;0;
30;4033;6367;100;25;20;55;0;0;500;700;
31;3379;6074;50;70;30;0;60;0;0;0;
32;3316;6325;50;70;30;0;60;0;0;0;
33;3019;6096;100;10;60;30;30;0;0;0;
34;4652;3298;80;25;20;55;0;0;0;0;
35;4745;4871;80;15;80;5;0;0;0;0;
36;5270;4698;100;50;50;0;30;0;0;0;
37;4782;4572;90;50;50;0;60;0;0;0;
38;5582;4835;50;90;10;0;75;0;0;0;
39;5860;4910;50;45;45;10;30;0;0;0;
